pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY	0.04	0.276363636363636	0.258227070559853	1.36827949901819	0	104	IL1B;PTPRE;IGF1R;PIK3R3;RELA;TRIM72;ZNF592;PIK3CA;INPP5K;MAPK1;APPL1;GRB2;PRKCD;RAF1;PTPN1;ZBTB7B;SOCS7;RPS6KB2;PRKCB;PDPK1;PIK3C2A;FBXW8	0.558519101549471
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	0.041274113952445	0.280727675685659	0.655986635189479	1.65397073541439	91	7	BAD;NNT;VCP	0.551714770104871
GOBP_TYPE_2_MITOPHAGY	0.0417615793470008	0.280727675685659	0.478536249161427	1.5434711632229	54	14	HTRA2;MUL1;GBA1	0.551714770104871
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING	0.0420168067226891	0.280727675685659	0.278117961247416	1.31630229121107	4	66	ZNF830;MRNIP;CDKN1A;SDE2;CDK2;TP53;RINT1;MSH2;HUS1	0.551714770104871
GOBP_ESTABLISHMENT_OF_MITOTIC_SISTER_CHROMATID_COHESION	0.0435172723194258	0.28147342095969	0.653980756951926	1.64891321788926	96	7	NAA50;SMC1A;RAD21;STAG2;NIPBL;STAG1	0.550562608540957
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.0428893905191874	0.28147342095969	0.32467300566939	1.37501011394311	18	36	NDUFV1;PARK7;NDUFB4;ISCU;NDUFS8;DLD;NDUFB2;NDUFAF1;CD320;NDUFB10;NDUFA2;NDUFS6;NDUFB9;ND4;DNAJC15;NDUFA5;NDUFA4;NDUFC2;ND3;ND1;NDUFV3;ND2;NDUFA10;ND5;SNCA;NDUFA1;NDUFS3;NDUFA6;NDUFB3;NDUFB7;ND4L;NDUFB5;NDUFA9;PINK1;NDUFS1;NDUFS4	0.550562608540957
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	0.0434782608695652	0.28147342095969	0.234058749776106	1.23121481427184	0	105	TGS1;MED29;CARM1;NCOA3;TNFRSF21;MED15;MED30;MED7;MED21;CPT2;EP300;PPARG;MTF1;MED25;CDK19;MED13;MED22;SREBF1;MED28;MED14;MED16;MED1;TRIB3;NR1D1;HMGCR;MED4;SIN3A;MED19;MED13L;NFYB;NR1H2;THRAP3;GLIPR1;MED20;SP1;RGL1;CYP4A11;MED10;GRHL1;HDAC3;CCNC;RXRB;MED11;TBL1X;SMARCD3;ESRRA;ACADM;CYP1A1;CHD9;CYP7A1;NCOR1;NCOA1;NCOA6;GPS2;FADS1;RORA;ABCA1;TBL1XR1;MED6;HMGCS2;FDFT1;SREBF2;APOA5;AHR;HMGCS1;AGT;SULT2A1;NCOA2;NRF1;MED8;APOA2;NFYA;CPT1A;CLOCK;NR1H3;ALAS1;MED12;ARNT;TXNRD1;FAM120B;NR1H4;PPARGC1A;MED17;MED9;MED27;NPAS2;SIN3B;RXRA;ACSL1;ANGPTL4;ABCB4;CDK8;NFYC;TIAM2;FABP1;MED23;MED31;CD36;PPARA;G0S2;ME1;PPARGC1B;PEX11A;ANKRD1;ARNT2	0.550562608540957
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	0.0454065469904963	0.290601900739176	0.407120127226746	1.49454092560878	42	21	NARS2;VARS2;HARS2;GARS1;KARS1;PPA2;QARS1;SARS2;DARS2;PARS2	0.5367015494398
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	0.0466321243523316	0.295336787564767	0.278417542142584	1.29427589675524	8	57	KIFC1;MAPRE1;CDT1;CHMP4B;CDC23;RAB11A;CHAMP1;CENPE;KAT5;ZW10;KIF22;CDK1;PDCD6IP;VPS4B;MAD1L1;NDC80;CHMP2A;AURKB;INCENP;SKA3;SKA2;CDCA8;EML4;HNRNPU;KIF18A;CCNB1;PINX1;CCDC66;CHMP7	0.529682453335282
GOBP_GLYCOLIPID_CATABOLIC_PROCESS	0.0477502295684114	0.299300408016434	0.42201806808108	1.49271672315617	51	18	GLA;GBA1;M6PR;HEXA;PRKCD;NAGA;GLB1;HEXB;FUCA1	0.523892691114486
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	0.0484633569739953	0.300670622859073	0.379300077803202	1.42865256547215	40	23	MAPRE1;CDT1;CHAMP1;CENPE;KAT5;CDK1;MAD1L1;NDC80;AURKB;INCENP;SKA3;SKA2;CDCA8;HNRNPU	0.521909002739048
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	0.0501054852320675	0.307718535566637	0.577982878544676	1.59213788644634	94	9	MECR;ACADS;ACSM3;HADHB;ECHS1;HADHA;ACADM;ACADVL;HADH	0.511846343038015
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	0.0526315789473684	0.316831683168317	0.406508963697714	2.18981316989431	0	119	CCND3;ORC4;CDKN1A;CDKN2D;CDK2;LYN;DBF4;JAK2;WEE1;TOP2A;POLA1;PSMD13;GMNN;CDT1;RPA1;CCNH;MCM3;MYC;CDKN1B;PSMC4;PSMC6;AKT3;RRM2;PSMA2;CKS1B;CDK4;MAX;MCM10;PSMB2;TYMS;PSMC3;MCM8;POLE4;PSMD8;CDK1;PSMD1;LIN54;MCM6;PSMB3;PSMB5;UBA52;ORC6;PSMD6;CCNA2;PSMD7;TFDP2;ORC3;ORC1;RBL1;CCND2;E2F6;HDAC1;MYBL2;PSMB4	0.499171395462737
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.0526315789473684	0.316831683168317	0.352345522695565	1.84181234440238	0	109	GZMB;USP36;HTRA2;ADCY10;BNIP3L;BCS1L;TIMM8A;TIMM22;TOMM22;SAMM50;FKBP8;SH3GLB1;PARL;TOMM34;DNAJC19;MOAP1;PMPCB;GFER;SARM1;MTERF4;PMPCA;MIPEP;TIMM29;AIP;RALA;OXA1L;HAX1;MAPK8;DNLZ;LRRK2;SAE1;TIMM17A	0.499171395462737
GOBP_MITOTIC_SPINDLE_ORGANIZATION	0.0588235294117647	0.322204557498675	0.333623452507055	1.79609799068877	0	118	KIFC1;SBDS;PLK3;TACC3;STIL;DCTN1;FAM110A;MZT1;ILK;KIF3B;PARP3;AAAS;CHMP4B;FLNA;STMN1;RAB11A;KIF23;RHOA;SPAST;RAE1;CENPE;TNKS;SMC1A;VCP;PDCD6IP;GPSM2;VPS4B;CKAP5;ZNF207;STAG2;KIF11;RIPOR2;NDC80;ARHGEF10;STAG1;CHMP2A;CCDC61;RACGAP1;TPX2;AURKB;INCENP;WDR62;MYBL2;NUMA1;CDCA8;CDC20;PRICKLE1;HNRNPU;RANGRF;CCNB1;GOLGA2;TACC2;ABRAXAS2;CCDC66;CHMP7	0.491868320892196
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.0552857676503549	0.322204557498675	0.733888062399349	1.59871366167171	147	5	GSDMD;SEPTIN4;BAK1;GSDME	0.491868320892196
GOBP_MACROMOLECULE_DEPALMITOYLATION	0.0563467492260062	0.322204557498675	0.5212023364898	1.55498508423979	90	11	ABHD12;DESI2;PPT1;ABHD17C;ABHD13	0.491868320892196
GOBP_REGULATION_OF_TYPE_2_MITOPHAGY	0.0582043343653251	0.322204557498675	0.519084477393708	1.54866654137384	93	11	HTRA2;MUL1;GBA1	0.491868320892196
