pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	0.0713375796178344	0.364754098360656	0.304070917168286	1.24145552172135	55	57	HMGCS2;EBF2;LPL;UMODL1;ABHD15;FOSL2;GUCA2B;OXCT1;IFRD2;AMER1;LIPA;TBL1XR1;NAMPT;SIRT1;GHRL;IFRD1;CSF1;DGAT2;VPS13B;ARID5B;ID2;SPTLC2	0.437999819693817
REACTOME_GLYCOSPHINGOLIPID_TRANSPORT	0.0731139913592556	0.370325338348099	0.692628905284835	1.52502805375805	219	6	ESYT2;CLN3;GLTP;ESYT1;ESYT3	0.431416571698103
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	0.0769230769230769	0.383384615384615	0.274283755567508	1.37915828431364	0	276	AIF1;ZC3H12D;CCL2;GPNMB;CENPF;TGFB1;PLK3;RGCC;DPF3;AURKB;CDKN1A;DTL;CDC25B;UBD;CDC25C;CDKN2D;TEX14;CCND3;PKMYT1;SKA1;PLCB1;FOXN3;DPF1;CDC14A;TM4SF5;CCND2;DLGAP5;ANXA1;CCNH;BRSK1;GTPBP4;INHBA;BCL2;BUB1;NABP1;GEN1;DGKZ;DDX3X;DACT1;CRLF3;ACTB;DCUN1D3;CCNE2;E2F1;BRCA1;EZH2;CDC20	0.416365318655724
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.0769230769230769	0.383384615384615	0.249693007877854	1.22766766617162	0	263	IL1B;SCT;APOC2;TREM2;CD74;APOA2;PIK3CG;PTGS2;GFI1;APOA5;HPGD;ANGPTL3;CYP7A1;IFNG;APOD;LDLR;HSD17B13;APOC1;PCK1;PDE3B;NFKB1;SIK1;SLC25A44;NR3C1;TNF;CEACAM1;GDF15;STARD4;KLHL25;SREBF1;ASXL3;CNEP1R1;ABCG1;LACTB;FBXW7;TRIB3;INSIG1;SAMD8;SNCA;BRCA1;PAQR3;KAT2B;STAT5A;EGR1;GPR146;SNAI1;NR1D2;SLC22A13;TBL1XR1;MAPK1;MBOAT7;NR1H3;PSAP;RNF213;TPK1;SIRT1;LPIN1;ABCA7;CIDEA;ASAH1;PDK3;PLAA;TTC39B;FABP3	0.416365318655724
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0.0794283815221004	0.386992667320536	0.686168988340053	1.51080462979961	238	6	TREM2	0.412297263850336
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	0.0800438596491228	0.386992667320536	0.606222716945675	1.48016027976259	218	8	RENBP;GFPT2;UAP1	0.412297263850336
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES	0.080144079243584	0.386992667320536	0.508966796712423	1.43749122769703	177	13	FASLG;FOXO1;BCL6	0.412297263850336
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	0.0807528840315726	0.386992667320536	0.410675645912392	1.3668112094921	132	23	HK1;HK2;CCND2;G6PC3;HK3;ALDOB	0.412297263850336
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS	0.07981220657277	0.386992667320536	0.252135701570607	1.17357814797337	16	125	TREM2;ICAM1;IGF1;NGFR;TGFB1;UCP2;CMA1;CYP7A1;NCF1;HK1;HK2;COL1A1;PCK1;GCKR;SLC29A1;OXCT1;C2CD2L;FOXO1	0.412297263850336
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.0822368421052632	0.388132974481659	0.602634224925278	1.47139857683665	224	8	AKR1D1;CYP8B1	0.411019459483396
